ID,Species,Scientific.Name
419,Spotted Crake,Porzana porzana
420,Laysan Rail,Zapornia palmeri
421,Hawaiian Rail,Zapornia sandwichensis
422,Yellow-breasted Crake,Hapalocrex flaviventer
423,Colombian Crake,Neocrex colombiana
424,Paint-billed Crake,Neocrex erythrops
425,Zapata Rail,Cyanolimnas cerverai
426,Spotted Rail,Pardirallus maculatus
427,Purple Gallinule,Porphyrio martinica
428,Azure Gallinule,Porphyrio flavirostris
429,Purple Swamphen,Porphyrio porphyrio
430,Common Gallinule,Gallinula galeata
431,Common Moorhen,Gallinula chloropus
432,Eurasian Coot,Fulica atra
433,Hawaiian Coot,Fulica alai
434,American Coot,Fulica americana
435,Sungrebe,Heliornis fulica
436,Limpkin,Aramus guarauna
437,Sandhill Crane,Antigone canadensis
438,Common Crane,Grus grus
439,Whooping Crane,Grus americana
440,Double-striped Thick-knee,Burhinus bistriatus
441,Black-winged Stilt,Himantopus himantopus
442,Black-necked Stilt,Himantopus mexicanus
443,American Avocet,Recurvirostra americana
444,Eurasian Oystercatcher,Haematopus ostralegus
445,American Oystercatcher,Haematopus palliatus
446,Black Oystercatcher,Haematopus bachmani
447,Northern Lapwing,Vanellus vanellus
448,Southern Lapwing,Vanellus chilensis
449,Black-bellied Plover,Pluvialis squatarola
450,European Golden-Plover,Pluvialis apricaria
451,American Golden-Plover,Pluvialis dominica
452,Pacific Golden-Plover,Pluvialis fulva
453,Lesser Sand-Plover,Charadrius mongolus
454,Greater Sand-Plover,Charadrius leschenaultii
455,Collared Plover,Charadrius collaris
456,Snowy Plover,Charadrius nivosus
457,Wilson's Plover,Charadrius wilsonia
458,Common Ringed Plover,Charadrius hiaticula
459,Semipalmated Plover,Charadrius semipalmatus
460,Piping Plover,Charadrius melodus
461,Little Ringed Plover,Charadrius dubius
462,Killdeer,Charadrius vociferus
463,Oriental Plover,Charadrius veredus
464,Mountain Plover,Charadrius montanus
465,Eurasian Dotterel,Charadrius morinellus
466,Northern Jacana,Jacana spinosa
467,Wattled Jacana,Jacana jacana
468,Upland Sandpiper,Bartramia longicauda
469,Bristle-thighed Curlew,Numenius tahitiensis
470,Whimbrel,Numenius phaeopus
471,Little Curlew,Numenius minutus
472,Eskimo Curlew,Numenius borealis
473,Long-billed Curlew,Numenius americanus
474,Far Eastern Curlew,Numenius madagascariensis
475,Slender-billed Curlew,Numenius tenuirostris
476,Eurasian Curlew,Numenius arquata
477,Bar-tailed Godwit,Limosa lapponica
478,Black-tailed Godwit,Limosa limosa
479,Hudsonian Godwit,Limosa haemastica
480,Marbled Godwit,Limosa fedoa
481,Ruddy Turnstone,Arenaria interpres
482,Black Turnstone,Arenaria melanocephala
483,Great Knot,Calidris tenuirostris
484,Red Knot,Calidris canutus
485,Surfbird,Calidris virgata
486,Ruff,Calidris pugnax
487,Broad-billed Sandpiper,Calidris falcinellus
488,Sharp-tailed Sandpiper,Calidris acuminata
489,Stilt Sandpiper,Calidris himantopus
490,Curlew Sandpiper,Calidris ferruginea
491,Temminck's Stint,Calidris temminckii
492,Long-toed Stint,Calidris subminuta
493,Spoon-billed Sandpiper,Calidris pygmea
494,Red-necked Stint,Calidris ruficollis
495,Sanderling,Calidris alba
496,Dunlin,Calidris alpina
497,Rock Sandpiper,Calidris ptilocnemis
498,Purple Sandpiper,Calidris maritima
499,Baird's Sandpiper,Calidris bairdii
500,Little Stint,Calidris minuta
501,Least Sandpiper,Calidris minutilla
502,White-rumped Sandpiper,Calidris fuscicollis
503,Buff-breasted Sandpiper,Calidris subruficollis
504,Pectoral Sandpiper,Calidris melanotos
505,Semipalmated Sandpiper,Calidris pusilla
506,Western Sandpiper,Calidris mauri
507,Short-billed Dowitcher,Limnodromus griseus
508,Long-billed Dowitcher,Limnodromus scolopaceus
509,Jack Snipe,Lymnocryptes minimus
510,Eurasian Woodcock,Scolopax rusticola
511,American Woodcock,Scolopax minor
512,Solitary Snipe,Gallinago solitaria
513,Pin-tailed Snipe,Gallinago stenura
514,Common Snipe,Gallinago gallinago
515,Wilson's Snipe,Gallinago delicata
516,Terek Sandpiper,Xenus cinereus
517,Common Sandpiper,Actitis hypoleucos
518,Spotted Sandpiper,Actitis macularius
519,Green Sandpiper,Tringa ochropus
520,Solitary Sandpiper,Tringa solitaria
521,Gray-tailed Tattler,Tringa brevipes
522,Wandering Tattler,Tringa incana
523,Lesser Yellowlegs,Tringa flavipes
524,Willet,Tringa semipalmata
525,Spotted Redshank,Tringa erythropus
526,Common Greenshank,Tringa nebularia
527,Greater Yellowlegs,Tringa melanoleuca
528,Common Redshank,Tringa totanus
529,Wood Sandpiper,Tringa glareola
530,Marsh Sandpiper,Tringa stagnatilis
531,Wilson's Phalarope,Phalaropus tricolor
532,Red-necked Phalarope,Phalaropus lobatus
533,Red Phalarope,Phalaropus fulicarius
534,Collared Pratincole,Glareola pratincola
535,Oriental Pratincole,Glareola maldivarum
536,Great Skua,Stercorarius skua
537,South Polar Skua,Stercorarius maccormicki
